#,PLAYER,POS,AGE,TYPE,EXPIRY,CAP HIT,GP,SH,G,A,P,TOI,$/SH,$/G,$/A,$/P,$/MIN
473,"Clutterbuck, Cal",RW,26,Stnd,UFA,"$2,750,000",73,172,12,7,19,14:19,"$15,988","$229,166","$392,857","$144,736","$2,631"
474,"Howden, Quinton","C, LW",21,ELC,RFA,"$870,000",16,23,4,2,6,13:43,"$37,826","$217,500","$435,000","$145,000","$3,964"
475,"Boychuk, Johnny",RD,29,Stnd,UFA,"$3,366,667",75,142,5,18,23,21:11,"$23,708","$673,333","$187,037","$146,376","$2,119"
476,"Latta, Michael",C,22,ELC,RFA,"$586,667",17,6,1,3,4,7:42,"$97,777","$586,667","$195,555","$146,666","$4,481"
477,"Malone, Brad","C, LW",24,Stnd,UFA,"$735,000",32,16,3,2,5,6:46,"$45,937","$245,000","$367,500","$147,000","$3,394"
478,"Brown, Mike",RW,28,Stnd,UFA,"$736,667",56,45,2,3,5,7:09,"$16,370","$368,333","$245,555","$147,333","$1,839"
479,"Miller, J.T.","LW, C",20,ELC,RFA,"$894,167",30,46,3,3,6,11:27,"$19,438","$298,055","$298,055","$149,027","$2,603"
480,"McClement, Jay",C,30,Stnd,UFA,"$1,500,000",81,67,4,6,10,14:45,"$22,388","$375,000","$250,000","$150,000","$1,255"
481,"Staal, Jordan","C, LW",25,Stnd,UFA,"$6,000,000",82,165,15,25,40,18:56,"$36,363","$400,000","$240,000","$150,000","$3,864"
482,"Schmidt, Nate",LD/RD,22,ELC,RFA,"$925,000",29,41,2,4,6,18:41,"$22,560","$462,500","$231,250","$154,166","$1,707"
483,"Moen, Travis","LW, RW",31,Stnd,UFA,"$1,850,000",65,56,2,10,12,11:31,"$33,035","$925,000","$185,000","$154,166","$2,471"
484,"Zucker, Jason","LW, RW",21,ELC,RFA,"$771,667",21,40,4,1,5,12:59,"$19,291","$192,916","$771,667","$154,333","$2,830"
485,"Gaustad, Paul","C, LW",31,Stnd,UFA,"$3,250,000",75,74,10,11,21,13:48,"$43,918","$325,000","$295,454","$154,761","$3,140"
486,"McGinn, Tye",LW,23,ELC,RFA,"$775,000",18,16,4,1,5,11:10,"$48,437","$193,750","$775,000","$155,000","$3,855"
487,"Potter, Corey",RD,29,Stnd,UFA,"$775,000",19,17,0,5,5,13:46,"$45,588",∞,"$155,000","$155,000","$2,962"
488,"Cole, Erik",LW,35,Stnd,UFA,"$4,500,000",75,139,16,13,29,15:09,"$32,374","$281,250","$346,153","$155,172","$3,960"
489,"Alzner, Karl",LD,25,Stnd,UFA,"$2,800,000",82,95,2,16,18,20:32,"$29,473","$1,400,000","$175,000","$155,555","$1,662"
490,"Jeffrey, Dustin",C,25,Stnd,RFA,"$625,000",34,30,2,2,4,9:33,"$20,833","$312,500","$312,500","$156,250","$1,924"
491,"Vey, Linden","RW, C",22,ELC,RFA,"$790,000",18,8,0,5,5,12:08,"$98,750",∞,"$158,000","$158,000","$3,617"
492,"Sissons, Colton","RW, C",20,ELC,RFA,"$635,000",17,13,1,3,4,10:37,"$48,846","$635,000","$211,666","$158,750","$3,518"
493,"Gazdic, Luke",LW,24,Stnd,RFA,"$635,000",67,30,2,2,4,5:48,"$21,166","$317,500","$317,500","$158,750","$1,634"
494,"Letang, Kris",RD,26,Stnd,UFA,"$3,500,000",37,108,11,11,22,24:14:00,"$32,407","$318,181","$318,181","$159,090","$3,903"
495,"Del Zotto, Michael",LD,23,Stnd,RFA,"$2,550,000",67,90,3,13,16,17:12,"$28,333","$850,000","$196,153","$159,375","$2,212"
496,"Stewart, Chris","RW, LW",26,Stnd,UFA,"$4,150,000",63,110,15,11,26,13:41,"$37,727","$276,666","$377,272","$159,615","$4,814"
497,"Briere, Daniel",C,36,35+,UFA,"$4,000,000",69,118,13,12,25,12:46,"$33,898","$307,692","$333,333","$160,000","$4,540"
498,"Green, Mike",RD,28,Stnd,UFA,"$6,083,333",70,172,9,29,38,22:43,"$35,368","$675,925","$209,770","$160,087","$3,825"
499,"Fleischmann, Tomas",LW,29,Stnd,UFA,"$4,500,000",80,188,8,20,28,17:07,"$23,936","$562,500","$225,000","$160,714","$3,286"
500,"Carcillo, Daniel",LW,28,Stnd,UFA,"$825,000",57,44,4,1,5,9:17,"$18,750","$206,250","$825,000","$165,000","$1,559"
501,"Stalberg, Viktor","LW, RW",27,Stnd,UFA,"$3,000,000",70,114,8,10,18,12:35,"$26,315","$375,000","$300,000","$166,666","$3,405"
502,"Ballard, Keith",D,31,Stnd,UFA,"$1,500,000",45,29,2,7,9,13:36,"$51,724","$750,000","$214,285","$166,666","$2,450"
503,"Semin, Alexander","RW, LW",29,Stnd,UFA,"$7,000,000",65,210,22,20,42,19:54,"$33,333","$318,181","$350,000","$166,666","$5,411"
504,"Kelly, Chris","C, LW",33,Stnd,UFA,"$3,000,000",57,69,9,9,18,14:41,"$43,478","$333,333","$333,333","$166,666","$3,584"
505,"Despres, Simon",RD,22,ELC,RFA,"$840,000",34,41,0,5,5,16:44,"$20,487",∞,"$168,000","$168,000","$1,476"
