#,PLAYER,POS,AGE,TEAM,TYPE,EXPIRY,CAP HIT,GP,SH,G,A,P,TOI,$/SH,$/G,$/A,$/P,$/MIN
564,"Dumoulin, Brian",LD,29,PIT,Stnd,UFA,"$4,100,000",41,50,4,10,14,22:21,"$82,000","$1,025,000","$410,000","$292,857","$4,474"
565,"Pulock, Ryan",RD,26,NYI,Stnd,UFA,"$5,000,000",56,121,2,15,17,22:26,"$41,322","$2,500,000","$333,333","$294,117","$3,980"
566,"Bozak, Tyler","C, RW",34,STL,Stnd,UFA,"$5,000,000",31,35,5,12,17,14:54,"$142,857","$1,000,000","$416,666","$294,117","$10,824"
567,"Cogliano, Andrew",LW,33,DAL,Stnd,UFA,"$3,250,000",54,88,5,6,11,13:55,"$36,931","$650,000","$541,666","$295,454","$4,324"
568,"Morrissey, Joshua",LD,25,WPG,Stnd,UFA,"$6,250,000",56,116,4,17,21,23:32,"$53,879","$1,562,500","$367,647","$297,619","$4,742"
569,"Hayton, Barrett","C, LW",20,ARI,ELC,RFA,"$894,167",14,10,2,1,3,11:29,"$89,416","$447,083","$894,167","$298,055","$5,561"
570,"Bellows, Kieffer","C, LW",22,NYI,ELC,RFA,"$894,166",14,19,3,0,3,11:01,"$47,061","$298,055",∞,"$298,055","$5,797"
571,"Cholowski, Dennis",LD,22,DET,ELC,RFA,"$894,166",16,10,1,2,3,15:53,"$89,416","$894,166","$447,083","$298,055","$3,518"
572,"Wolanin, Christian",LD,25,LAK,Stnd,UFA,"$900,000",18,16,0,3,3,13:16,"$56,250",∞,"$300,000","$300,000","$3,768"
573,"Sörensen, Marcus","LW, RW",28,SJS,Stnd,UFA,"$1,500,000",29,26,1,4,5,12:05,"$57,692","$1,500,000","$375,000","$300,000","$4,280"
574,"Nemeth, Patrik",LD,28,COL,Stnd,UFA,"$3,000,000",52,53,3,7,10,18:00,"$56,603","$1,000,000","$428,571","$300,000","$3,205"
575,"Sekera, Andrej",LD/RD,34,DAL,Stnd,UFA,"$1,500,000",46,33,3,2,5,15:38,"$45,454","$500,000","$750,000","$300,000","$2,085"
576,"Ristolainen, Rasmus",RD,26,BUF,Stnd,UFA,"$5,400,000",49,73,4,14,18,22:17,"$73,972","$1,350,000","$385,714","$300,000","$4,945"
577,"Braun, Justin",RD,33,PHI,Stnd,UFA,"$1,800,000",53,59,1,5,6,18:31,"$30,508","$1,800,000","$360,000","$300,000","$1,834"
578,"Newhook, Alex",C,19,COL,ELC,RFA,"$908,333",6,8,0,3,3,13:40,"$113,541",∞,"$302,777","$302,777","$11,077"
579,"Spurgeon, Jared",RD,31,MIN,Stnd,UFA,"$7,575,000",54,94,7,18,25,22:05,"$80,585","$1,082,142","$420,833","$303,000","$6,352"
580,"Hardman, Mike","LW, RW",21,CHI,ELC,RFA,"$912,500",8,5,1,2,3,10:59,"$182,500","$912,500","$456,250","$304,166","$10,385"
581,"Matheson, Michael",LD,26,PIT,Stnd,UFA,"$4,875,000",44,86,5,11,16,18:38,"$56,686","$975,000","$443,181","$304,687","$5,946"
582,"Haas, Gaëtan",C,28,EDM,Stnd,UFA,"$915,000",34,24,2,1,3,11:20,"$38,125","$457,500","$915,000","$305,000","$2,374"
583,"Sundqvist, Oskar","C, RW",26,STL,Stnd,UFA,"$2,750,000",28,32,4,5,9,15:09,"$85,937","$687,500","$550,000","$305,555","$6,482"
